START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/20/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/20/16,04/21/16,10:15 PM,01:15 AM,FALSE,TRUE,04/20/16,06:15 PM,09:15 PM,FREE,BUSY
04/21/16,12:45 PM,03:45 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/21/16,04/21/16,03:45 PM,06:45 PM,FALSE,TRUE,04/21/16,11:45 AM,02:45 PM,FREE,BUSY
04/22/16,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KTRB 860",04/22/16,04/23/16,10:15 PM,01:15 AM,FALSE,TRUE,04/22/16,06:15 PM,09:15 PM,FREE,BUSY
04/23/16,06:05 PM,09:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA- MLBN (out-of-market only) ----- Local Radio: KNBR 680- KTRB 860",04/23/16,04/24/16,09:05 PM,12:05 AM,FALSE,TRUE,04/23/16,05:05 PM,08:05 PM,FREE,BUSY
04/24/16,01:05 PM,04:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/24/16,04/24/16,04:05 PM,07:05 PM,FALSE,TRUE,04/24/16,12:05 PM,03:05 PM,FREE,BUSY
04/25/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/25/16,04/26/16,10:15 PM,01:15 AM,FALSE,TRUE,04/25/16,06:15 PM,09:15 PM,FREE,BUSY
04/26/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/26/16,04/27/16,10:15 PM,01:15 AM,FALSE,TRUE,04/26/16,06:15 PM,09:15 PM,FREE,BUSY
04/27/16,12:45 PM,03:45 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA- MLBN (out-of-market only) ----- Local Radio: KNBR 680- KTRB 860",04/27/16,04/27/16,03:45 PM,06:45 PM,FALSE,TRUE,04/27/16,11:45 AM,02:45 PM,FREE,BUSY
05/05/16,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/05/16,05/06/16,10:15 PM,01:15 AM,FALSE,TRUE,05/05/16,06:15 PM,09:15 PM,FREE,BUSY
05/06/16,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/06/16,05/07/16,10:15 PM,01:15 AM,FALSE,TRUE,05/06/16,06:15 PM,09:15 PM,FREE,BUSY
