START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/25/2015,7:30 PM,10:30 PM,Arizona 1 - San Jose 4,SAP Center at San Jose - San Jose, ,09/25/2015,09/26/2015,10:30 PM,1:30 AM,FALSE,TRUE,09/25/2015,6:30 PM,9:30 PM,FREE,BUSY
09/26/2015,6:00 PM,9:00 PM,Anaheim 2 - San Jose 1,SAP Center at San Jose - San Jose, ,09/26/2015,09/27/2015,9:00 PM,12:00 AM,FALSE,TRUE,09/26/2015,5:00 PM,8:00 PM,FREE,BUSY
09/29/2015,7:30 PM,10:30 PM,Vancouver 1 - San Jose 2,SAP Center at San Jose - San Jose,SN1,09/29/2015,09/30/2015,10:30 PM,1:30 AM,FALSE,TRUE,09/29/2015,6:30 PM,9:30 PM,FREE,BUSY
10/10/2015,7:30 PM,10:30 PM,Anaheim 0 - San Jose 2,SAP Center at San Jose - San Jose - CA,PRIME / FS-SD /  CSN-CA,10/10/2015,10/11/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/10/2015,6:30 PM,9:30 PM,FREE,BUSY
10/22/2015,7:30 PM,10:30 PM,Los Angeles 4 - San Jose 1,SAP Center at San Jose - San Jose - CA,FS-W /  CSN-CA,10/22/2015,10/23/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/22/2015,6:30 PM,9:30 PM,FREE,BUSY
10/24/2015,7:30 PM,10:30 PM,Carolina 2 - San Jose 5,SAP Center at San Jose - San Jose - CA,FS-CR /  CSN-CA,10/24/2015,10/25/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/24/2015,6:30 PM,9:30 PM,FREE,BUSY
10/28/2015,7:30 PM,10:30 PM,Nashville 2 - San Jose 1,SAP Center at San Jose - San Jose - CA,NBCSN,10/28/2015,10/29/2015,10:30 PM,1:30 AM,FALSE,TRUE,10/28/2015,6:30 PM,9:30 PM,FREE,BUSY
11/03/2015,7:30 PM,10:30 PM,Columbus 5 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-O /  CSN-CA,11/03/2015,11/04/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/03/2015,6:30 PM,9:30 PM,FREE,BUSY
11/05/2015,7:30 PM,10:30 PM,Florida 2 - San Jose 5,SAP Center at San Jose - San Jose - CA,FS-F /  CSN-CA,11/05/2015,11/06/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/05/2015,6:30 PM,9:30 PM,FREE,BUSY
11/07/2015,7:30 PM,10:30 PM,Anaheim 1 - San Jose 0,SAP Center at San Jose - San Jose - CA,FS-W /  CSN-CA,11/07/2015,11/08/2015,10:30 PM,1:30 AM,FALSE,TRUE,11/07/2015,6:30 PM,9:30 PM,FREE,BUSY
