START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/23/2014,6:00 PM,9:00 PM,San Jose 2 - Vancouver 4,Rogers Arena - Vancouver,NHLN-US / SN360,09/23/2014,09/24/2014,9:00 PM,12:00 AM,FALSE,TRUE,09/23/2014,5:00 PM,8:00 PM,FREE,BUSY
09/23/2014,7:30 PM,10:30 PM,Vancouver 2 - San Jose 5,Stockton Arena - Stockton, Ca, ,09/23/2014,09/24/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/23/2014,6:30 PM,9:30 PM,FREE,BUSY
09/26/2014,7:30 PM,10:30 PM,Arizona 2 - San Jose 1,SAP Center at San Jose - San Jose, ,09/26/2014,09/27/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/26/2014,6:30 PM,9:30 PM,FREE,BUSY
09/27/2014,5:00 PM,8:00 PM,Anaheim 1 - San Jose 3,SAP Center at San Jose - San Jose, ,09/27/2014,09/27/2014,8:00 PM,11:00 PM,FALSE,TRUE,09/27/2014,4:00 PM,7:00 PM,FREE,BUSY
09/30/2014,7:30 PM,10:30 PM,Los Angeles 4 - San Jose 1,SAP Center at San Jose - San Jose, ,09/30/2014,10/01/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/30/2014,6:30 PM,9:30 PM,FREE,BUSY
10/03/2014,7:00 PM,10:00 PM,San Jose 3 - Arizona 1,Gila River Arena - Arizona, ,10/03/2014,10/04/2014,10:00 PM,1:00 AM,FALSE,TRUE,10/03/2014,6:00 PM,9:00 PM,FREE,BUSY
10/04/2014,7:00 PM,10:00 PM,San Jose 1 - Anaheim 2,Honda Center - Anaheim,PRIME,10/04/2014,10/05/2014,10:00 PM,1:00 AM,FALSE,TRUE,10/04/2014,6:00 PM,9:00 PM,FREE,BUSY
10/08/2014,7:00 PM,10:00 PM,San Jose 4 - Los Angeles 0,STAPLES Center - Los Angeles - CA,NBCSN / SN1,10/08/2014,10/09/2014,10:00 PM,1:00 AM,FALSE,TRUE,10/08/2014,6:00 PM,9:00 PM,FREE,BUSY
10/11/2014,7:00 PM,10:00 PM,Winnipeg 0 - San Jose 3,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,10/11/2014,10/12/2014,10:00 PM,1:00 AM,FALSE,TRUE,10/11/2014,6:00 PM,9:00 PM,FREE,BUSY
10/14/2014,7:00 PM,7:00 PM,San Jose 6 - Washington 5,Verizon Center - Washington - DC,CSN-CA /  CSN-DC,10/14/2014,10/14/2014,10:00 PM,10:00 PM,FALSE,TRUE,10/14/2014,6:00 PM,6:00 PM,FREE,BUSY
10/16/2014,7:00 PM,7:00 PM,San Jose 3 - Ny Islanders 4,Nassau Coliseum - Uniondale - NY,CSN-CA /  MSG+,10/16/2014,10/16/2014,10:00 PM,10:00 PM,FALSE,TRUE,10/16/2014,6:00 PM,6:00 PM,FREE,BUSY
10/18/2014,7:00 PM,7:00 PM,San Jose 4 - New Jersey 2,Prudential Center - Newark - NJ,CSN-CA /  MSG,10/18/2014,10/18/2014,10:00 PM,10:00 PM,FALSE,TRUE,10/18/2014,6:00 PM,6:00 PM,FREE,BUSY
10/19/2014,5:00 PM,5:00 PM,San Jose 0 - Ny Rangers 4,Madison Square Garden - New York - NY,TVA /  CSN-CA /  MSG,10/19/2014,10/19/2014,8:00 PM,8:00 PM,FALSE,TRUE,10/19/2014,4:00 PM,4:00 PM,FREE,BUSY
10/21/2014,7:00 PM,7:00 PM,San Jose 3 - Boston 5,TD Garden - Boston - MA,TVA /  CSN-CA /  NESN,10/21/2014,10/21/2014,10:00 PM,10:00 PM,FALSE,TRUE,10/21/2014,6:00 PM,6:00 PM,FREE,BUSY
10/23/2014,7:30 PM,10:30 PM,Columbus 5 - San Jose 4,SAP Center at San Jose - San Jose - CA,FS-O /  CSN-CA,10/23/2014,10/24/2014,10:30 PM,1:30 AM,FALSE,TRUE,10/23/2014,6:30 PM,9:30 PM,FREE,BUSY
10/25/2014,1:00 PM,4:00 PM,Buffalo 2 - San Jose 1,SAP Center at San Jose - San Jose - CA,MSG-B / BELL TV /  CSN-CA,10/25/2014,10/25/2014,4:00 PM,7:00 PM,FALSE,TRUE,10/25/2014,12:00 PM,3:00 PM,FREE,BUSY
10/26/2014,5:00 PM,8:00 PM,San Jose 4 - Anaheim 1,Honda Center - Anaheim - CA,CSN-CA /  PRIME,10/26/2014,10/26/2014,8:00 PM,11:00 PM,FALSE,TRUE,10/26/2014,4:00 PM,7:00 PM,FREE,BUSY
10/28/2014,7:00 PM,9:00 PM,San Jose 3 - Colorado 2,Pepsi Center - Denver - CO,CSN-CA /  ALT,10/28/2014,10/29/2014,10:00 PM,12:00 AM,FALSE,TRUE,10/28/2014,6:00 PM,8:00 PM,FREE,BUSY
10/30/2014,7:00 PM,8:00 PM,San Jose 3 - Minnesota 4,Xcel Energy Center - St. Paul - MN,CSN-CA /  FS-WI / FS-N+,10/30/2014,10/30/2014,10:00 PM,11:00 PM,FALSE,TRUE,10/30/2014,6:00 PM,7:00 PM,FREE,BUSY
11/01/2014,7:30 PM,10:30 PM,Ny Islanders 1 - San Jose 3,SAP Center at San Jose - San Jose - CA,NBCSN /  MSG+ /  CSN-CA,11/01/2014,11/02/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/01/2014,6:30 PM,9:30 PM,FREE,BUSY
11/06/2014,7:30 PM,10:30 PM,Vancouver 3 - San Jose 2,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,11/06/2014,11/07/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/06/2014,6:30 PM,9:30 PM,FREE,BUSY
11/08/2014,7:00 PM,8:00 PM,San Jose 5 - Dallas 3,American Airlines Center - Dallas - TX,CSN-CA /  FS-SW,11/08/2014,11/08/2014,10:00 PM,11:00 PM,FALSE,TRUE,11/08/2014,6:00 PM,7:00 PM,FREE,BUSY
11/09/2014,6:00 PM,7:00 PM,San Jose 2 - Chicago 5,United Center - Chicago - IL,TVA /  CSN-CA /  WGN,11/09/2014,11/09/2014,9:00 PM,10:00 PM,FALSE,TRUE,11/09/2014,5:00 PM,6:00 PM,FREE,BUSY
11/11/2014,7:30 PM,7:30 PM,San Jose 1 - Florida 4,BB&T Center - Sunrise - FL,CSN-CA /  FS-F,11/11/2014,11/11/2014,10:30 PM,10:30 PM,FALSE,TRUE,11/11/2014,6:30 PM,6:30 PM,FREE,BUSY
11/13/2014,7:30 PM,7:30 PM,San Jose 2 - Tampa Bay 1,Amalie Arena - Tampa - FL,CSN-CA /  SUN,11/13/2014,11/13/2014,10:30 PM,10:30 PM,FALSE,TRUE,11/13/2014,6:30 PM,6:30 PM,FREE,BUSY
11/15/2014,7:00 PM,7:00 PM,San Jose 1 - Columbus 2,Nationwide Arena - Columbus - OH,CSN-CA /  FS-O,11/15/2014,11/15/2014,10:00 PM,10:00 PM,FALSE,TRUE,11/15/2014,6:00 PM,6:00 PM,FREE,BUSY
11/16/2014,5:00 PM,5:00 PM,San Jose 2 - Carolina 0,PNC Arena - Raleigh - NC,CSN-CA /  SPSO,11/16/2014,11/16/2014,8:00 PM,8:00 PM,FALSE,TRUE,11/16/2014,4:00 PM,4:00 PM,FREE,BUSY
11/18/2014,7:30 PM,7:30 PM,San Jose 1 - Buffalo 4,First Niagara Center - Buffalo - NY,NBCSN /  CSN-CA,11/18/2014,11/18/2014,10:30 PM,10:30 PM,FALSE,TRUE,11/18/2014,6:30 PM,6:30 PM,FREE,BUSY
11/20/2014,7:30 PM,10:30 PM,Florida 3 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-F /  CSN-CA,11/20/2014,11/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/20/2014,6:30 PM,9:30 PM,FREE,BUSY
11/22/2014,7:30 PM,10:30 PM,Arizona 4 - San Jose 3,SAP Center at San Jose - San Jose - CA,FS-A /  CSN-CA,11/22/2014,11/23/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/22/2014,6:30 PM,9:30 PM,FREE,BUSY
11/26/2014,7:30 PM,10:30 PM,Calgary 2 - San Jose 0,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,11/26/2014,11/27/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/26/2014,6:30 PM,9:30 PM,FREE,BUSY
11/29/2014,7:30 PM,10:30 PM,Anaheim 4 - San Jose 6,SAP Center at San Jose - San Jose - CA,KCOP-13 /  CSN-CA,11/29/2014,11/30/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/29/2014,6:30 PM,9:30 PM,FREE,BUSY
12/02/2014,7:00 PM,10:00 PM,Philadelphia 1 - San Jose 2,SAP Center at San Jose - San Jose - CA,NBCSN /  CSN-PH,12/02/2014,12/03/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/02/2014,6:00 PM,9:00 PM,FREE,BUSY
12/04/2014,7:30 PM,10:30 PM,Boston 4 - San Jose 7,SAP Center at San Jose - San Jose - CA,SN360 /  NESN /  CSN-CA,12/04/2014,12/05/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/04/2014,6:30 PM,9:30 PM,FREE,BUSY
12/06/2014,8:00 PM,10:00 PM,San Jose 3 - Calgary 2,Scotiabank Saddledome - Calgary - AB,CBC /  CSN-CA,12/06/2014,12/07/2014,11:00 PM,1:00 AM,FALSE,TRUE,12/06/2014,7:00 PM,9:00 PM,FREE,BUSY
12/07/2014,7:00 PM,9:00 PM,San Jose 1 - Edmonton 2,Rexall Place - Edmonton - AB,CSN-CA /  SNW,12/07/2014,12/08/2014,10:00 PM,12:00 AM,FALSE,TRUE,12/07/2014,6:00 PM,8:00 PM,FREE,BUSY
12/09/2014,7:30 PM,10:30 PM,Edmonton 2 - San Jose 5,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,12/09/2014,12/10/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/09/2014,6:30 PM,9:30 PM,FREE,BUSY
12/11/2014,7:30 PM,10:30 PM,Minnesota 1 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-N / FS-WI /  CSN-CA,12/11/2014,12/12/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/11/2014,6:30 PM,9:30 PM,FREE,BUSY
12/13/2014,7:30 PM,10:30 PM,Nashville 0 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-TN /  CSN-CA,12/13/2014,12/14/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/13/2014,6:30 PM,9:30 PM,FREE,BUSY
